document_id,external_id,cnj_raw,cnj_normalized,tribunal_sigla,provenance,changed_after_justification
da11469b-87a5-48ad-8068-900acdb8780c,NT-1999-DF,1000113-21.2023.4.01.3603,1000113-21.2023.4.01.3603,TRF1,consenso,false
32253eab-d968-47c2-9fff-c06c74ed63c5,NT-2218-DF,1027146-13.2023.4.01.3400,1027146-13.2023.4.01.3400,TRF1,consenso,false
49e85ad0-0df7-4ec6-84a5-ffdc9525314e,NT-2525-DF,1003786-83.2022.4.01.3400,1003786-83.2022.4.01.3400,TRF1,consenso,false
26790823-4299-4cac-aa68-708cc6e75cb2,NT-1087-DF,1078020-70.2021.4.01.3400,1078020-70.2021.4.01.3400,TRF1,consenso,false
73704066-c7f2-415a-afd2-0807e5eb664b,NT-1937-DF,1084899-59.2022.4.01.3400,1084899-59.2022.4.01.3400,TRF1,consenso,false
3ce34067-d6be-4550-9c95-d63029548f09,NT-2068-DF,1013994-92.2023.4.01.3400,1013994-92.2023.4.01.3400,TRF1,consenso,false
f4885277-4743-4330-9c43-a313ede1a62e,NT-2597-DF,1072694-95.2022.4.01.3400,1072694-95.2022.4.01.3400,TRF1,consenso,false
cf581172-5cf9-4dc0-8e1f-a92225c3f558,NT-1088-DF,1074598-87.2021.4.01.3400,1074598-87.2021.4.01.3400,TRF1,consenso,false
14553bc5-933a-4e0c-8ba8-8bdbc51b7180,NT-1981-DF,1086747-81.2022.4.01.3400,1086747-81.2022.4.01.3400,TRF1,consenso,false
95a539e2-319c-4ec8-8593-693cc10202d6,NT-2131-DF,1019899-78.2023.4.01.3400,1019899-78.2023.4.01.3400,TRF1,consenso,false
00e79acd-35b7-4a17-a3db-f1bd16bd4a1c,NT-2427-DF,1057362-54.2023.4.01.3400,1057362-54.2023.4.01.3400,TRF1,consenso,false
6154c83c-8a95-4546-9d71-adac5fc926be,NT-2720-DF,1090587-65.2023.4.01.3400,1090587-65.2023.4.01.3400,TRF1,consenso,false
382b4d0f-05d8-409b-b886-352627f6a17b,NT-2794-DF,1090103-50.2023.4.01.3400,1090103-50.2023.4.01.3400,TRF1,consenso,false
6474cabe-d450-4003-8ee2-8c55cd5afc1e,NT-3322-DF,1026431-34.2024.4.01.3400,1026431-34.2024.4.01.3400,TRF1,consenso,false
0e874c5c-ca1b-4d7e-90e1-0a8a4dd30a38,NT-3457-DF,1039042-19.2024.4.01.3400,1039042-19.2024.4.01.3400,TRF1,consenso,false
26c067df-af32-4421-871a-31b0bd501931,NT-3741-DF,1069458-67.2024.4.01.3400,1069458-67.2024.4.01.3400,TRF1,consenso,false
53825669-e674-4183-b46b-33eb1f6196d0,NT-3958-DF,1094213-58.2024.4.01.3400,1094213-58.2024.4.01.3400,TRF1,consenso,false
77933205-d072-4534-a408-e74990306226,NT-3121-DF,1004976-13.2024.4.01.3400,1004976-13.2024.4.01.3400,TRF1,consenso,false
5275f42c-9c69-4845-86db-ed43722d7499,NT-3430-DF,1035485-24.2024.4.01.3400,1035485-24.2024.4.01.3400,TRF1,consenso,false
51bea354-8030-48e0-88e3-51a2cb11081a,NT-3495-DF,1043398-57.2024.4.01.3400,1043398-57.2024.4.01.3400,TRF1,consenso,false
56d0bc08-81aa-48b6-a237-c3a173dd6bf4,NT-3829-DF,1076902-54.2024.4.01.3400,1076902-54.2024.4.01.3400,TRF1,consenso,false
1731bed1-bd97-4fbb-8f1d-4d5be0552c55,NT-4009-DF,1000243-67.2025.4.01.3400,1000243-67.2025.4.01.3400,TRF1,consenso,false
76cbaebe-1f30-4712-a580-c036c2eb208c,NT-3253-DF,1008463-06.2024.4.01.0000,1008463-06.2024.4.01.0000,TRF1,consenso,false
9a68e54c-4870-4fd9-a3b5-168f21cc75fa,NT-3464-DF,1023002-59.2024.4.01.3400,1023002-59.2024.4.01.3400,TRF1,consenso,false
393da820-b8d1-4fc8-9585-27cc98abf2bc,NT-3590-DF,1048098-76.2024.4.01.3400,1048098-76.2024.4.01.3400,TRF1,consenso,false
560b1779-c085-4a8d-808d-a26afa54a2ab,NT-3946-DF,1096087-78.2024.4.01.3400,1096087-78.2024.4.01.3400,TRF1,consenso,false
f90dc585-0923-4753-9d7f-eddbb456fdb1,NT-4010-DF,1108180-73.2024.4.01.3400,1108180-73.2024.4.01.3400,TRF1,consenso,false
f96fecb1-1e57-456d-84e6-45514a79e47f,NT-4042-DF,1006577-20.2025.4.01.3400,1006577-20.2025.4.01.3400,TRF1,consenso,false
200b5e03-3b11-42c0-8c27-254b89e1b156,NT-4250-DF,1037182-46.2025.4.01.3400,1037182-46.2025.4.01.3400,TRF1,consenso,false
ec8b084f-8104-4a8d-b1f8-73303c505ffc,NT-4381-DF,1000290-41.2025.4.01.3400,1000290-41.2025.4.01.3400,TRF1,consenso,false
